ID,month_no,flat_type,storey_range,floor_area_sqm,lease_commence_date,resale_price
277,24193,4,4,90,2002,380000
278,24193,4,1,104,1989,359000
279,24193,4,1,102,1997,320000
280,24193,4,4,103,1998,439000
281,24193,4,1,104,1988,325000
282,24193,4,4,100,1998,438000
283,24193,4,1,101,1998,335000
284,24193,4,7,102,1998,338000
285,24193,4,10,103,1998,360000
286,24193,4,10,103,1988,365000
287,24193,4,4,104,1988,333000
288,24193,4,1,104,1988,335000
289,24193,4,10,103,1988,338000
290,24193,4,7,90,2002,337000
291,24193,4,1,92,2002,312000
292,24193,4,1,90,2002,300000
293,24193,4,4,90,2002,340000
294,24193,4,13,90,2004,443000
295,24193,4,4,93,2004,382500
296,24193,5,7,110,2001,470000
297,24193,5,19,122,1999,495000
298,24193,5,4,121,1997,405000
299,24193,5,22,121,1997,573888
300,24193,5,7,110,2001,570000
301,24193,5,7,110,2002,398000
302,24193,5,13,110,2002,370000
303,24193,5,28,121,1999,610000
304,24193,5,4,110,2004,448000
305,24193,6,10,155,1988,610000
306,24193,6,16,142,1999,718000
307,24193,6,4,142,1999,675000
308,24193,6,10,142,1999,730000
309,24193,6,7,128,2003,460000
310,24193,6,10,130,2001,570000
311,24193,4,7,91,1974,540000
312,24193,5,22,125,1974,950000
313,24193,3,10,76,1971,375000
314,24193,3,10,70,1977,555000
315,24193,3,10,70,1977,563000
316,24193,3,10,68,1986,520000
317,24193,4,34,95,2011,900000
318,24193,4,37,94,2011,900000
319,24193,4,4,93,2011,772888
320,24193,4,16,82,1984,596000
321,24193,5,28,108,2011,1068888
322,24193,5,28,107,2011,1020000
323,24193,5,25,130,1985,760000
324,24193,3,7,69,2011,320000
325,24193,3,10,74,1984,280000
326,24193,3,7,67,1978,280000
327,24193,3,4,67,1978,272000
328,24193,3,4,74,1984,273000
329,24193,3,1,73,1989,255000
330,24193,3,7,67,1979,273000
331,24193,4,7,104,1990,365000
332,24193,4,7,104,1994,372000
333,24193,4,1,110,1992,360000
334,24193,4,4,104,1993,336000
335,24193,4,4,104,1993,355000
336,24193,4,13,101,1997,360888
337,24193,4,13,104,2000,365000
338,24193,4,4,106,1993,421000
339,24193,4,1,106,1993,330000
340,24193,4,7,100,1999,339888
341,24193,4,13,101,1999,335000
342,24193,4,4,105,1999,370000
343,24193,4,10,90,2002,353000
344,24193,4,13,90,2002,360000
345,24193,4,4,107,1999,360000
346,24193,4,19,90,2003,343888
347,24193,4,13,90,2002,358000
348,24193,4,1,100,1999,380000
